,content,normdate,rhyme,met
10,"Hoy queda para siempre declarado,
Vaga espaciosa fértil y agradable,
que es el fruto que das inestimable
puro, precioso, rico y regalado.
Pues le ofreces a todos sazonado,
útil al alma y a la vista amable
con una erudición incomparable
y en estilo jamás imaginado
No sólo es digno de que ganes nombre
y le gane Madrid cual madre tuya
honrada de tenerte por su hijo,
mas de que el Tajo nueva envidia asombre
de que al Betis la gloria se atribuya
de hallar Mecenas en don Juan de Arguijo
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['++---+---+-', '+--+-+---+-', '+-+--+---+-', '+--+-+---+-', '-++--+---+-', '+--+--+--+-', '-+---+---+-', '--+--+---+-', '--++---+-+-', '-++--+-+-+-', '-+---++--+-', '---+-+-+-+-', '--+--+---+-', '-+-+-----+-']"
11,"Honró las verdes selvas de honor santo
un tiempo de Espinosa el tierno acento,
dio al monte de esmeraldas ornamento,
y al río margen de florido acanto.
Su voz (en gloria ajena) puede tanto,
que ilustra ahora la región del viento,
el cual lleva con blando movimiento
al río, al monte y selva el nuevo canto.
Y en agradecimiento, y porque vuelva
otra vez a ilustrarles su horizonte,
a oír la voz, que hiere el aire frío,
con alas de laurel vino la selva,
con plantas de esmeraldas vino el monte,
con riendas de cristal se paró el río.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+-+-+--++-', '++---+-+-+-', '++---+---+-', '-++---+--+-', '-+-+-+-+-+-', '-+-+---+-+-', '--+--+---+-', '-++-+--+-+-', '-----+---+-', '+-+--++--+-', '+-+-+--+-+-', '-+---++--+-', '-+---+-+-+-', '-+---+--++-']"
12,"Moriste, o gran Varón, sin que la suerte
(que es a todos común) te anocheciera;
que a no faltarte tú, tarde pudiera
el mayor de los males emprenderte
Perdiste aquella parte que más fuerte
tiene en el alma su inmortal esfera;
que mucho, pues, que entonces se atreviera
a sus reliquias frágiles la muerte
En ti llegó el saber a ser dolencia,
pues siendo para todos desengaños,
sólo para ti mismo fue violencia.
Tan aprisa viviste en pocos años,
que adelantando siempre la experiencia,
fue envidia a propios, y enseñanza ha extraños.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+-+-+---+-', '+-+--+---+-', '-+-++++--+-', '--+--+---+-', '-+-+-+--++-', '+--+---+-+-', '-+---+---+-', '---+-+---+-', '-+-+-+-+-+-', '-+---+---+-', '+---++-+-+-', '+-+--+-+-+-', '---+-+---+-', '++-+---+++-']"
13,"Desde ayer, en la tarde, con indecible afán,
Carmela la zagala, preparó su vestido
mejor, que hubo adornado con cintas y metido,
para venir a ver al fiesta de San Juan
¡Es Carmela muy guapa! Y más buena que el pan
Los mozos al mirarla se dicen al oído
los ingenuos requiebros que su buen parecido
les inspiran, y sus ojos tras los de ella se van
Con camisa de gola, y enagua de percal,
y el rebozo de seda ceñido a la cintura,
Carmela da a la fiesta singular esplendor.
Habla el cura La Banda toca un aire marcial
y entre gritos y aplausos pasea su figura
Carmela, por quien muchos viven locos de amor.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--+----+-+-', '-+---+---+--+-', '-++--+--+---+-', '---+-+-+--+-', '+-+-++-++--+-', '-+---++-+--+-', '--+--+---+--+-', '+-+---+---+--+', '--+--+--+---+-', '--+--+--+---+-', '-+-+-+---+--+-', '+-+-+-+++--+-', '--+--+--+--+-', '-+---+-+-+--+-']"
14,"Quédate, adiós, pendiente de este pino
sin defensa del tiempo a los rigores,
cítara en que canté de mis amores
las gracias y el ingenio peregrino.
Guárdala, oh tronco, que honras el camino
por muestra de la fe de dos pastores,
do puedan cortesanos amadores
tomar lecciones de un amor divino.
Mientras la oyó viviendo mi señora,
con cuerdas de oro resonar solía,
y fieras crudas amansó su canto;
ya que el alma feliz los cielos mora,
y en esta tumba su ceniza fría,
cesen los versos, y principie el llanto.
",3,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+-+--+-+-+-', '--+--+---+-', '+----+---+-', '-+---+---+-', '+-++-+---+-', '-+---+-+-+-', '++---+---+-', '-+-+-+-+-+-', '--++-+---+-', '-+-+---+-+-', '-+-+---+-+-', '--+--+-+-+-', '-+-+---+-+-', '+--+---+-+-']"
15,"Hay en mi Cuba un pobre pajarillo
que vive libremente en la espesura;
no seduce con trinos de ternura
ni ostenta plumas de variado brillo
Volando de la jagua al mamoncillo
solo su amada libertad procura;
que él no puede vivir en jaula oscura
ni llevar en el pie dorado grillo
Cuando un infame aprisionarlo quiere,
tras el alambre el infeliz se agita
y pocas horas de tristeza muere
¡Oh, sí! Yo quiero ser la bijirita:
que a mí también la esclavitud me hiere,
mi paz enturbia, y mi ilusión marchita.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+-++---+-', '-+-+-+---+-', '+-+--+---+-', '++-+---+-+-', '-+---+---+-', '+--+---+-+-', '+++--+-+-+-', '--+--+-+-+-', '-+-+---+++-', '---+---+-+-', '-+-+---+-+-', '-+-+-+---+-', '-+-+---+++-', '-+-+---+-+-']"
16,"Cuando gimiendo por el sol que espira,
su torre gigantesca lanza al viento
grandioso clamor que en ondas lento
hasta el confín del horizonte gira;
y en sus calladas naves do respira
de otros siglos el alto pensamiento,
la tierra olvido, y penetrar me siento
del Infinito a quien el alma aspira;
la quietud, las tinieblas, el misterio,
de los santos inmobles la mirada,
la antorcha del sagrario veladora
todo me dice allí con vago imperio,
plácido al corazón que se anonada
¡Aquí habita el Señor! ¡Póstrate y ora!
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['---+---+-+-', '-+---+-+-+-', '-+--+--+-+-', '---+---+-+-', '---+-+-+-+-', '+-+--+---+-', '-+-+---+++-', '---+---+-+-', '--+--+---+-', '--+--+---+-', '-+---+---+-', '+-++-+-+-+-', '+----+---+-', '-++---++-+-']"
17,"Cuando alzando los ojos miro al cielo
adornado de estrellas refulgentes,
de luna y sol las vueltas diferentes,
y de los orbes el constante vuelo
Y tornando a bajarlos, veo el suelo
regado con los ríos y las fuentes,
henchido de hombres, brutos, y vivientes,
que procrean su especie con anhelo
Al contemplar de todo la hermosura,
y el inmutable orden, que en sí tiene,
y observa la feraz naturaleza.
A ti elevo mi alma con fe pura,
oh eterno Creador, y cual conviene
bendigo en altas voces tu grandeza
",3,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--+-+-+-', '--+--+---+-', '-+-+-+---+-', '---+---+-+-', '--+--+++-+-', '-+---+---+-', '-+-+-+---+-', '--+--+---+-', '---+-+---+-', '---++---++-', '-+---+---+-', '-++--+--++-', '-+---+---+-', '-+-+-+---+-']"
18,"Cuando yo considero que en la vida
no he cogido de amor ninguna rosa;
cuando no miro en duda tenebrosa
surgir lejana una ilusión querida;
cuando de hiel colmada la medida
de mi dolor el cálice rebosa;
cuando el alma en su lucha tormentosa
se postra al fin sin fuerzas abatida,
la frente inclino; en abundante vena
desátase mi llanto, y baña el suelo,
y mi alma poco a poco se serena:
De la tormenta así el nubloso velo,
revuelto en confusión, se rompe, truena,
desciende en lluvia, y resplandece el cielo.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['--+--+---+-', '+-+--+-+-+-', '--++-+---+-', '-+-++--+-+-', '---+-+---+-', '---+-+---+-', '--+--+---+-', '-+-+-+---+-', '-+-+---+-+-', '-+-+-+-+-+-', '-+---+---+-', '---+-+-+-+-', '-+---+-+-+-', '-+-+---+-+-']"
19,"¿De la mujer moderna quién se fía
que a la postre no salga equivocado?
Natural antes era su peinado
y hoy es un casco de caballería
Corsés con embutidos en el día
gasta, para ostentar seno abultado,
y polisones huecos ha inventado
para engañar con más alevosía
De mejunjes sin fin la faz se llena
siempre ambiciosa de aumentar su hechizo,
y rubio es hoy la que era ayer morena:
¿Qué no es capaz de hacer la que tal hizo?
Falso en ella cuanto hoy nos enajena;
¿Será también el corazón postizo?
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['---+-+-+-+-', '--+-++---+-', '--++-+---+-', '+++-----+-', '-+---+---+-', '+----++--+-', '---+-+-+-+-', '---+-+---+-', '--+--+-+-+-', '+--+---+-+-', '-+++-+-+-+-', '++-+-+--++-', '+-+--++--+-', '-+-+---+-+-']"
20,"Sólo el camino sabe donde acaba el camino,
sólo el silencio sabe donde el silencio acaba,
sólo tu vuelo de ave sobre el vértigo... madre,
sabe donde se estrellan los anhelos del alma..
Sólo el perfil sereno de tu cabeza blanca
sabe de los perfiles del volcán de mi almohada
y conoce mi espanto y mi amarga mirada
cuando miro de frente tus ojos esmeralda...
Sólo el fulgor del alba que tu afección emana
apaga los crespones de mi locura de albas...
y en el ronco latido de esta torva acechanza
sólo tu mano calma mi frente atormentada
Sabes madre que sólo me aferro a tu nostalgia,
pariste soledades, pare ya mi esperanza.
",4,"['-', '-', '-', '-', '-', 'A', 'A', '-', '-', '-', 'B', 'A', '-', 'B']","['+--++---+--+-', '+--+-+----+-+-', '+--+-+---+--+-', '+----+---+--+-', '+--+-+----+-+-', '+----+---+--+-', '--+--+--+--+-', '--+--+--+---+-', '+--+-+----+-+-', '-+---+----+-+-', '--+--+-+-+--+-', '+--+-+--+---+-', '+-+--+-++---+-', '-+---+-+-+--+-']"
21,"Mi sagrado deber profesional
al servicio del hombre me sitúa
y hasta la misma ley me conceptúa
como un poder de facultad legal
Mi labor es más bien sacerdotal
si en el sentido humano se evalúa
y mi experiencia de años se acentúa
haciendo el bien y combatiendo el mal
Yo cultivo los campos de la ciencia
para atenuar al hombre sus dolores
con mi fe, mi saber e inteligencia
Predico el bien, practico los favores
y habrá pocos que ignoren mi existencia
porque yo soy el Médico Señores.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['--+--+---+-', '--+--+-+-+-', '---+-++--+-', '-+-+---+-+-', '--++++---+-', '---+-+---+-', '---+-+---+-', '-+-+---+-+-', '+-+--+---+-', '---+-+---+-', '--+--+---+-', '-+-+-+---+-', '-++--+---+-', '--+++---+-']"
22,"Flor de pasión, esparces un aroma
que, por sutil, parece de leyenda;
y tu sonrisa, tu mirar, tu idioma
ven amparados por tupida venda.
A escuchar tus gorjeos de paloma,
suelta el alma los fardos en la senda,
gusta contigo la vedada poma
y en impensado edén planta una tienda.
Huerto cerrado, misteriosa llave
del bien y del amor que osada sabe,
o que lo sabe todo, así te quiero;
Pues de tu ser en el oscuro abismo
voy aprendiendo, errante aventurero,
a disipar las dudas de mí mismo.
",4,"['A', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'C', 'D', 'E', 'D', 'E']","['+--+-+-+-+-', '---+-+---+-', '---+---+-+-', '+--+---+-+-', '--+--+---+-', '+-+--+---+-', '+--+---+-+-', '---+-+++-+-', '+--+---+-+-', '-+---+-+-+-', '---+-+-+-+-', '---+---+-+-', '+-+--+---+-', '---+-+--++-']"
23,"Cada día que vivo es un indulto
que me otorga, Señor, vuestra clemencia,
pues, decrépita y muda mi existencia,
sólo soy un cadáver insepulto
Brillar quisiera, renovado el culto
que al arte he tributado y a la ciencia
Y al contemplar mi estéril indigencia,
ni al lauro aspiro, ni al fracaso oculto
¿Por qué alejáis del viejo navegante,
cuando es mayor su triste desamparo,
la arribada a la tierra prometida?.
Quizá queréis, Señor, verle triunfante
a fuerza de remar con rumbo al faro
que anuncia el puerto de la eterna vida
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+-+-+-++-+-', '-++--+---+-', '--+--+---+-', '+-++-+---+-', '-+-+---+-+-', '-++--+---+-', '---+-+---+-', '-+-+---+-+-', '-+-+-+---+-', '-+-+-+---+-', '--+--+---+-', '-+-+-+++-+-', '-----+-+-+-', '-+-+---+-+-']"
24,"Para encontrar fortuna, estimaciones,
se ha de tener un poco de embusteros,
poco y medio de infames lisonjeros,
y dos pocos cabales de bufones;
Tres pocos, y un poquito de soplones
y cuatro de alcahuetes recaderos,
cinco pocos, y un mucho de parleros;
las obras censurando, y las acciones.
Será un amén continuo a cuanto hablare
el señor, o el virrey a quien sirviere
y cuanto más el tal disparatare
aplaudir con más fuerza se requiere;
y si con esta ganga continuare
en palacio tendrá cuanto quisiere.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['---+-+---+-', '+--+++---+-', '+-+--+---+-', '-++--+---+-', '++-+-+---+-', '-+---+---+-', '+-+-++---+-', '-+---+---+-', '-+-+-+---+-', '--+--+---+-', '-+-+-+---+-', '--+-++---+-', '---+-+---+-', '--+--+---+-']"
25,"¡Cuántas veces, Señor, el mundo aislado,
en apacible soledad amiga,
mi corazón, rendido a la fatiga,
a tus pies reverente se ha postrado!
¡Cuántas veces mi amor te ha suplicado
que tu mano piadosa me bendiga,
pues mi propia conciencia me castiga
a velar el cadáver de un ahorcado!
Y ante él, ante mis culpas, he aprendido
que jamás tu clemencia me abandona:
nací para servirte ¡y te he ofendido!
¿Quién a tu siervo, como Tú, perdona,
y con voz paternal dice a su oído:
«¡Tuyo soy!, mi corona es tu corona»?
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+--+-+-+-', '---+---+-+-', '---+-+---+-', '--+--+-+-+-', '+-+--++--+-', '--+--+-+-+-', '--+--+-+-+-', '--+--+-+-+-', '-+---+-+-+-', '--+--+-+-+-', '-+---+++-+-', '+--+---+-+-', '--+--++--+-', '--+--++--+-']"
26,"Mendigo: tu blasfemia me estremece
Deja que olvide a Dios el venturoso;
pero tu labio hambriento y asqueroso
con renovada fe bendiga y rece:
Todo, menos su Dios, le pertenece
al opulento, sano y poderoso,
y el pobre, enfermo, triste y haraposo,
de todo, excepto de su Dios, carece
Dios es al cabo el único enemigo
del vano, del audaz, del sibarita,
y la sola esperanza, el solo amigo
del que llora, padece y necesita
¡Sin Dios, el universo se anonada!
¡Sin Dios, el rico es Dios, y el pobre nada!
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'E', 'E']","['-+---+-+-+-', '+--+-+---+-', '---+-+---+-', '---+-+-+-+-', '+-+--++--+-', '---+-+---+-', '-+-+-+---+-', '-+-----+-+-', '-+-+-+---+-', '-+---+---+-', '--+--+-+-+-', '--+--+---+-', '-+---+---+-', '-+-+++-+-+-']"
27,"Ya el tiempo con su vuelo acostumbrado
ha traído a tal punto mis deseos
que libre, sin ficciones ni rodeos
muestre mi corazón fuerte y osado
El Capitán y Rey tan señalado,
que con tan grandes triunfos y trofeos
de persa, libios, medos, nabateos
y de otros mil sus templos ha adornado,
no ha sido Ninías, como habéis creído,
¡oh mil vasallos fuertes y leales,
sino su madre, puesta en su vestido!
Yo he sido el Capitán de los Reales,
y mi querido hijo es quien ha sido
virgen entre las vírgenes vestales.5
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', '-']","['++---+---+-', '++--++---+-', '-+---+---+-', '+----++--+-', '---+-++--+-', '--++-+---+-', '-+-+-+---+-', '-+-+-+-+-+-', '++--+--+-+-', '-+-+-+---+-', '---+-+---+-', '++---+----+', '---++-+-++-', '+----+---+-']"
28,"Se cree fuerte y así, indiscreta,
guiada solo por su candor,
con la cabeza de ansias repleta,
desconociendo aun el dolor,
entra inconsciente en la glorieta
de mis cadenas rosas dé amor-.
Y aspira un suave perfume á cielos,
cierra los párpados para sofiar
y siente á poco nuevos anhelos
como oleajes de brava mar...
Lleva de súbito la mano al pecho:
¡hay un agudo dardo traidor!
Huye, ¡y la prenden sin darle trecho
frescas cadenas rosas de amor.
",4,"['A', 'B', 'A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F']","['-+-+----+-', '-+-+----+-', '---+-+--+-', '---+----+-', '+--+----+-', '---+-+-++-', '-+++--+++-', '+--+----+-', '-+++-+--+-', '---+--+-+-', '+--+----+-', '+--+----+-', '+--+--+-+-', '+--+-+--+-']"
29,"¿Qué es la Gracia, Señor? Rayo divino
que el corazón del pecador inflama
y ardor le infunde y claridad derrama
a través de su lóbrego camino;
iris de paz al triste peregrino,
místico faro, refulgente llama
a cuya luz la humanidad proclama
árbitro a Dios de su inmortal destino
La nube gris que en el espacio flota,
sucumbe al sol tras la tormenta ruda
que el mar encrespa y el vergel azota
Así, al caer las sombras de la duda,
entre esplendores la Esperanza brota,
vibra el Amor con elocuencia muda.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+--++--+-', '---+---+-+-', '-+++---+-+-', '-----+---+-', '+--+-+---+-', '+--+---+-+-', '---+---+-+-', '+--+---+-+-', '-+-+---+-+-', '-+-+---+-+-', '-+-+---+-+-', '-+-+-+---+-', '---+---+-+-', '+--+---+-+-']"
30,"«Patria, familia, hogar ¿qué os habéis hecho?
Quedó al patria tras los anchos mares,
destruyó el infortunio mis hogares
cual pobre nido al huracán deshecho.
¡Mi familia, mi amor! Aquí en mi pecho
convertí sus sepulcros en altares,
y he llorado he llorado mis pesares
huérfana ¡ay! bajo extranjero techo »
Así te vi exhalar en hondo duelo
quejas que al Dios del desterrado claman,
hija preciosa del cubano cielo
Llanto tus ojos con razón derraman;
mas tu patria, tu hogar en este suelo,
está en el corazón de los que te aman.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+--+-++-++-', '-+-+---+-+-', '--+--+---+-', '++-+---+-+-', '--+---+--+-', '--+--+---+-', '+-+-+-+---+-', '+------+-+-', '-+++-+-+-+-', '+--+---+-+-', '+--+---+-+-', '+--+---+-+-', '--+--+-+-+-', '-+---+---+-']"
