,content,country-birth,rhyme,met
10,"En aquel bosque en flor junto a la fuete
yo era de bronce Los ocasos de oro
fulgiendo en mí, volcaban su tesoro
sobre las aguas, en un fuego ardiente
Yo era insensible al aire azul y al coro
de las ninfas del bosque y al silente
espíritu nocturno que en mi frente
prendía gemas de rocío y lloro
¿De dónde, en alas de la sombra, vino
a mí, diciendo, aquella voz extraña:
«¿Dormida está en el mundo floreciente?»,
abierto el horizonte en mi destino
se despertó mi endurecida entraña
y me puse a llorar sobre la fuente.
",6,"['-', 'A', 'A', 'B', 'A', 'B', 'B', 'A', 'C', 'D', 'B', 'C', 'D', 'B']","['--++-+---+-', '+--+--+--+-', '-+-+-+---+-', '---+--++-+-', '+--+-+-+-+-', '--+--+---+-', '-+---+---+-', '-++---+--+-', '-+-+---+-+-', '-+-+-+-+-+-', '-+-+-+---+-', '-+---+---+-', '---+---+-+-', '-++--+---+-']"
11,"Noé, segundo Adán de los mortales,
de turba irracional acompañado,
en el arca famosa anduvo a nado
hasta que vio pacíficas señales.
En la ausencia, que es arca de mis males,
me encierran tu rigor y desagrado,
de mil remordimientos acosado,
que son los más feroces animales.
Con esta carta, a guisa de paloma,
tímidamente me aventuro, y pruebo
si se ha calmado el mar tus enojos.
Dímelo por piedad; que, si no asoma
la pacífica oliva, no me atrevo
a presentarme a tus divinos ojos
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+-+--+---+-', '-+---+---+-', '--+--+-+-+-', '---+-+---+-', '--+-++---+-', '++---+---+-', '-+---+---+-', '-+-+-+---+-', '-+-+-----+-', '+----+-+-+-', '-+-+--+--+-', '+++--+--++-', '--+--+-+++-', '---++--+-+-']"
12,"Siente a pesar del mármol el aliento,
que otra vez por Javier amante espira,
y el alma que en la estatua el arte inspira,
segunda vez le roba el sentimiento.
¡O cuánto de Javier pesa el tormento,
pues el mármol con él sudarse mira!
¿Qué no herirá la pena, que respira,
si a un Dios en un Castillo no está exento?
Padece Cristo al ver, que Javier pena,
y muerto viva sangre de sí vierte,
ya de su faz la luz siempre serena.
En fatales eclipses se convierte,
pero, o cuánto de cerca hará la pena,
que a un inmortal de lejos da la muerte.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+----+---+-', '+-+--+-+-+-', '-+---+-+-+-', '-+-+++---+-', '-+---++--+-', '--+--+-+++-', '++-+-+---+-', '++-+-+-+++-', '-+-+-+--++-', '-+-+-+--++-', '+--+-++--+-', '--+--+---+-', '--+--+-+-+-', '+--+-+-+-+-']"
13,"Sedientos de celestes jerarquías,
vivo golfo de llamas superiores,
esperar no pudieron tus ardores
el término fatal que apetecías
En ti mismo ascendiendo, o nuevo Elías,
en ti carro triunfal de más fulgores,
águila en más lucientes resplandores,
muchos soles viviste en pocos días.
Aprendiendo la lumbre que suspendes,
por engañar la sed con la memoria,
tú te resististe a ti y al suelo.
Para más alta elevación desciendes,
por que tanto mayor será la gloria,
cuanto más tarde te corone el cielo.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+---+---+-', '+-+--+---+-', '--++-+---+-', '-+---+---+-', '-++--+-+-+-', '-++--+-+-+-', '+--+-+---+-', '+-+--+-+-+-', '--+--+---+-', '---+-+---+-', '++--+-+--+-', '--++---+-+-', '--+--+-+-+-', '+-++-+-+-+-']"
14,"En una cuna pobre fui metido,
entre bayetas burdas mal fajado,
donde salí robusto y bien templado,
y el rústico pellejo muy curtido.
A la naturaleza le he debido
más que el señor, el rico y potentado,
pues le hizo sin sosiego delicado,
y a mí con desahogo bien fornido
Él se cubre de seda, que no abriga,
yo resisto con lana a la inclemencia;
él por comer se asusta y se fatiga,
yo soy feliz, si halago a mi conciencia,
pues lleno a todas horas la barriga,
fiado de que hay Dios y providencia.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+-+-+-+-+-', '---+-+-+-+-', '---+-+-+-+-', '-+---+-+-+-', '-----+-+-+-', '+--+-+---+-', '-+---+---+-', '-+---+-+-+-', '+-+--+--++-', '+-+--+---+-', '+--+-+---+-', '++-+-+---+-', '-+---+---+-', '+---++---+-']"
15,"Por ti olvidé -cual flores sin esencia-
ilusiones de bien que fueron mías;
y troqué por culpables alegrías
lo más bello del alma, la inocencia!
Lleváronse la paz de mi existencia
tus locas noches y revueltos días;
en el fuego mortal de tus orgías
quemó sus níveas alas mi conciencia!
Hollé por tu favor lo más sagrado;
apagué con tu risa el sentimiento;
escondí en tu cinismo mis sonrojos;
y en cambio, ingrato amor, ¿qué me has dejado?
¡Sombrío cual la noche el pensamiento,
inerte el corazón, secos los ojos!
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+-+-+---+-', '--+--+-+-+-', '--+--+---+-', '-++--+---+-', '-+---+---+-', '-+-+---+-+-', '--+--+---+-', '-+-+-+---+-', '-+---+-+-+-', '--+--+---+-', '--+--+---+-', '-+-+-+++-+-', '-+--+----+-', '-+---++--+-']"
16,"Hijo del Alba nace aquel que dora
tantos Orbes farol resplandeciente,
él se ilumina Sol, y ella doliente
cuanto en luces concibe, en perlas llora
Ahora es el llanto, y el gemido ahora;
sí; que es riesgo del Alba tanto ardiente
lucir, pero el rigor de ese accidente,
día se anima, si amanece Aurora
Alba Augusta de España, tu divina
hermosura fue Oriente a la más pura
luz de un sol, que dos Orbes ilumina
A tanto resplandor violencia dura
tu beldad siente; pero no declina,
la que a nuevos Orientes, se asegura.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['--+-+--+-+-', '+-+--+---+-', '+--+-++--+-', '+-+--+-+-+-', '++-+--+--+-', '+++--+-+-+-', '-+---++--+-', '+-+---+--+-', '-----+---+-', '--+-++--++-', '+++-++---+-', '-+---+-+-+-', '--++---+-+-', '--+--+---+-']"
17,"Confeso en el linaje, y moro puto,
y mixto en línea estrecha con villano,
ya he visto ser la flecha de tu mano
y que eso es tu lenguaje y tu tributo.
Avieso fue el ultraje disoluto;
de listo, erró la flecha el cuero insano
que a Cristo iba derecha, y dio al cristiano;
suceso que en tu traje pondrá luto
Detenga esa lanzada de Minerva
y, caiga o no en la cuenta de sus yerros,
si asesta otra, contemple esta medida.
Y venga enherbolada en esa yerba,
y traiga la tormenta de tres fierros,
como ésta, que no hay temple que la impida.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+---+-+-+-', '-+-+-+---+-', '++-+-+---+-', '-++--+---+-', '-+-+-+---+-', '-+-+-+-+-+-', '-++--+-+-+-', '-+---+--++-', '-++--+---+-', '-+-+-+---+-', '-++--++--+-', '-+---+-+-+-', '-+---+--++-', '-+--++--++-']"
18,"Bien pronto ¡ay Dios! la muerte asoladora
en la nada hundirá mi triste vida;
mi huesa, entre mil huesas confundida,
ni el sitio marcará do el cuerpo mora
De otro siglo la planta triunfadora
la tierra de mi tumba removida
hollará con desprecio, ya perdida
toda memoria de que existo ahora
La misma a quien yo adoro, de la flores
que el jugo tomen de mi tronco helado,
respirará sin pena, ¡ay! los olores
¡Oh mundo miserable! ¿a qué me has dado?
a conocer la gloria, los amores,
y vivir, para ser luego olvidado.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['++-+-+---+-', '--+--+-+-+-', '+---++---+-', '-+---+++-+-', '+-+--+---+-', '-+---+---+-', '--+--+-+-+-', '+--+---+-+-', '-+--++---+-', '-+-+---+-+-', '---+-+---+-', '-+---+-+++-', '---+-+---+-', '--+--++--+-']"
19,"Sombra fresca, agua clara, verde asiento,
tierras alegres y olorosas flores,
lugar secreto que de mis dolores
y quejas escucháis el triste acento.
¡Así rigor de hielo, lluvia o viento,
no turbe vuestro estado y mil Amores
volando en torno con los ruiseñores,
perpetuo albergue os hagan de contento!
Guardad en vos eterna la memoria
del bien que Amor aquí prestó al deseo
que tanto tiempo en mí cual fuego ardía:
De suerte que el que oyó mi breve gloria
en Filis reconozca y Melibeo
su terrible mudanza y la fe mía
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+-++-+-+-+-', '+--+---+-+-', '-+-+-----+-', '-+---+-+-+-', '-+-++-+--+-', '++---+-+-+-', '-+-+-----+-', '-+-+++---+-', '-+-+-+---+-', '-+-+-+-+-+-', '-+-+-+-+-+-', '-----+-+-+-', '-+---+---+-', '--+--+--++-']"
20,"Soñé que la fortuna en lo eminente
del más suntuoso trono me ofrecía
el imperio del orbe y que ceñía
con diadema inmortal mi augusta frente
Soñé que del ocaso hasta el oriente
mi formidable nombre discurría
y que del septentrión al mediodía
mi poder se adoraba humildemente
De triunfantes despojos revestido
soñé que de mi carro rubicundo
tiraba César con Pompeyo uncido.
Despertóme el estruendo furibundo,
solté la risa y dije en mi sentido:
así posan las glorias de este mundo.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+---+---+-', '-+-+-+-+-+-', '--+--+---+-', '--+--+-+-+-', '-+---+---+-', '---+-+---+-', '-----+---+-', '--+--+-+-+-', '--+--+---+-', '-+---+---+-', '-+-+---+-+-', '--+--+---+-', '-+-+-+---+-', '-++--+-+-+-']"
21,"Como un vigía que en la noche vela
las almas el perdón tu amor enlaza,
y allí a tus plantas fugitiva estela
de lágrimas, la ignota angustia traza.
Flor de piedad que en el silencio medras
y el pesar trashumante ansiosa acoges,
mi frente inclino, pues mi orgullo arredras.
¡Tú, que en tu seno al pecador recoges!
Con paso lento y corazón pesado,
a tí me acerco tras febril jornada,
y a tus pies, como flores de pasión
que atmósfera letal ha marchitado,
depongo triste la última brazada
de rosas que aromó mi corazón.
",0,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G', 'E', 'F', 'G']","['-+-+---+-+-', '-+---+-+-+-', '-+-+---+-+-', '-+---+-+-+-', '+--+---+-+-', '--+--+-+-+-', '-+-+---+-+-', '+--+---+-+-', '-+-+---+-+-', '-+-+---+-+-', '--+--+---+-', '-+---++--+-', '-+-+-+---+-', '-+---+---+-']"
22,"Azul cual tus pupilas luminosas,
copia, en su transparencia cristalina,
el claro azul del cielo, en temblorosas
y delicadas luces peregrinas.
Si te vistes de azules terciopelos
tu cuerpo es un zafiro luminoso,
que labrara, entre líricos desvelos,
algún extraño orfebre caprichoso
El zafiro diluye en las tranquilas
y temblorosas aguas de los lagos
su limpio azul, cual el de tus pupilas.
Y en el cobalto de azulada gama,
y en los cielos románticos y vagos,
como en tus ojos, su matiz derrama.
",1,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'G', 'F', 'G']","['-+---+---+-', '+----+---+-', '-+-+-+---+-', '---+-+---+-', '-++--+---+-', '-+++-+---+-', '--+--+---+-', '-+-+-+---+-', '--+--+---+-', '---+-+---+-', '-+-+-----+-', '---+---+-+-', '--+--+---+-', '---+---+-+-']"
23,"Desde la altiva torre la vista se dilata
sobre las anchas cúpulas y esbeltos capiteles,
por la vasta llanura de frondosos vergeles
donde el Ebro sus ondas fecundantes desata
Rico blasón heráldico, cuya banda de plata
es el río que corta los múltiples cuarteles,
campos de trigo de oro, frutales y laureles
y musgosos ribazos floridos de escarlata
La fértil vega, el huerto, la riente pradera,
llenan los infinitos cuarteles de colores,
y su casco de oro de opulenta cimera
coronada de nubes como plumas de raso
blancas, azules, rojas, de vívidos fulgores,
es el sol, que agiganta su incendio en el ocaso.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'E', 'D', 'E']","['---+-+--+---+-', '---+-+---+---+', '--+--+---+--+-', '--+--+---+--+-', '+--+-+----+--+', '+-+-+--+---+-', '+--+-+--+---+-', '--+--+--+---+-', '-+-+-+--+--+-', '+----+--+---+-', '--+-+---+--+-', '--+--+---+--+-', '+--+-+--+---+-', '+-+--+--+---+-']"
24,"En el verde jardín del monasterio,
donde los nardos crecen con las lilas,
pasea la novicia sus pupilas
como princesa por su vasto imperio.
Deleitan su sagrado cautiverio
los chorros de agua en las marmóreas pilas,
el lejano vibrar de las esquilas
y las místicas notas del salterio
Sus rizos peina el aura del verano,
mas la doncella al contemplarlos llora,
e, internada en el bosque de cipreses,
piensa que ha de troncharlos firme mano
como la hoz de ruda segadora
las espigas doradas de las mieses.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--+---+-', '---+-+---+-', '-+---+---+-', '---+---+-+-', '-+---+---+-', '-+-+---+-+-', '--+--+---+-', '--+--+---+-', '-+-+-+---+-', '---+---+++-', '--+--+---+-', '+-+--+++-+-', '---+-+---+-', '--+--+---+-']"
25,"Los salmos que proclaman tu victoria
Hablan de tu blasón presidencial,
Ya no cabe en los fastos de la historia
Toda tu ejecutoria nacional.
La voz del bardo que cantó tu gesta
Cual si lo hubiera el mismo de Vivar,
Es hoy himno divino por tu festa,
Heraldo de tu triunfo singular.
Mas no solo el poeta te proclama,
Portavoz del destino que te aclama,
Desde el lejano Aparri hasta Sulú,
Es un grito triunfal, verdad ingente.
Lo que en su pecho la nación presiente.
“El primer Presidente, serás tú”…
",0,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'E', 'F', 'G', 'G', 'F']","['-+---+---+-', '+----+---+-', '++---+---+-', '+----+---+-', '-+-+---+-+-', '---+-+---+-', '+++--+---+-', '-+---+---+-', '-++--+---+-', '--+--+---+-', '---+-+---+-', '+++--+-+-+-', '---+---+-+-', '+-+--+--++-']"
26,"Aquí alzando patrióticos cantares,
de estas orillas en la blanca arena,
y no en la margen del helado Sena,
ni al blando murmurar del Manzanares,
vivo feliz Prefiero en mis hogares
el claro arroyo que entre guijas suena,
y la que grata los espacios llena
música de mis cedros y palmares
¿Qué puede haber en el Antiguo Mundo
comparable a mis céfiros y cañas,
y al follaje sin par del bosque mío?
Adorar sólo sé mi sol fecundo,
mis colinas, mis vírgenes montañas,
y la fértil ribera de mi río.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-++--+---+-', '+--+---+-+-', '-+-+---+-+-', '-+---+---+-', '+--+---+-', '-+-+---+-+-', '---+---+-+-', '+----+---+-', '++-+-----+-', '--+--+---+-', '--+--+-+-+-', '--++-+-+-+-', '--+--+---+-', '--+--+---+-']"
27,"Espíritu sutil que, condensando
varias especies de la mente inquieta,
sueles a veces ofrecer completa
la forma que el ingenio anda buscando:
Hoy tus favores con afán demando
¡Haz el milagro que hace la trompeta,
cuando al disperso ejército concreta
y lo muestra formado y peleando!
Sólo exige de ti mi pensamiento
un momento feliz que con vehemencia
coloque en su lugar cada elemento
¡Y en verdad que no es floja la exigencia;
que muchas veces un feliz momento
suele influir en toda la existencia!
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+---+---+-', '+--+---+-+-', '+--+---+-+-', '-+---++--+-', '+--+---+-+-', '+--+-+---+-', '---+-+---+-', '-++--+---+-', '+-+--+---+-', '+-+--+---+-', '-+---++--+-', '--+-++---+-', '-+-+-+-+-+-', '+-+-+----+-']"
28,"Yo también infeliz samaritano
le hallé en el pozo de Jacob un día,
y el agua que con ansia me pedía
muerto de sed, se la negué inhumano
Y fue más ruin mi corazón liviano,
porque yo, sin saber lo que me hacía,
rechacé la que él mismo me ofrecía
en el hueco amoroso de su mano.
Ni una gota de di ni yo tampoco
calmar pude, oh Jesús, mi sed interna;
¡ay dame de beber que he sido un loco!
y aunque es mi corazón seca cisterna
el tuyo es manantial, que poco a poco
me da por cinco, fuentes vida eterna
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+--+---+-', '++-+---+++-', '-+---+-+-+-', '+--+-+-+-+-', '-+++---+-+-', '--+--+--++-', '--+-++-+-+-', '--+--+---+-', '+-+--+-+-+-', '-++--+-+-+-', '-++--+++++-', '-+---++--+-', '--+--+---+-', '++-+-+-+-+-']"
29,"Dame, Señor, inspiración y aliento
para cumplir la ley de mi destino;
dame luz que ilumine mi camino
y esclarezca mi oscuro entendimiento.
Dame juntos prudencia y ardimiento,
rectitud y piedad, saber y tino
Me alzó a la cumbre tu poder divino:
no me abandones al furor del viento
¡Mísero mando! Vanidad de un día,
soñar en verso y despertar en prosa
¿Es represión? ¡Nefanda tiranía!
¿Es tolerancia? ¡Flojedad odiosa!
-Sólo acierta, Señor, el que confía
en su honor y en tu ayuda generosa.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['++-+---+-+-', '---+-+---+-', '+++--+---+-', '--+--+---+-', '+++--+---+-', '--+--+-+-+-', '++-+---+-+-', '++-+---+-+-', '+--+---+++-', '-+-+---+-+-', '+--++---+-', '+--+--+-+-', '+-+--+---+-', '--+--+---+-']"
30,"Yo era infeliz; contra mi suerte en vano
luchaba sin cesar, ella vencía,
los umbrales de Licio pisó un día;
Licio me tiende la benigna mano
A la sagrada voz del vate anciano
el mal huyó de la morada mía,
y sin ceño Melpómene y Talía
me vieron el Pindo castellano.
Licio no existe ya; corona santa
cíñele Dios, la patria generosa
hijo le llora, célebre le canta
Y entre el aplauso y el dolor profundo,
yo, Licio, grabo en tu modesta losa:
«Fuiste mi bienhechor; sépalo el mundo»
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'E', 'D', 'E']","['+--+---+-+-', '-+---++--+-', '--+--+--++-', '+-++---+-+-', '---+-+-+-+-', '-+-+---+-+-', '--+--+---+-', '+-+--+---+-', '+-++-+-+-+-', '+-++-+---+-', '+-++-+--++-', '---+---+-+-', '++-+---+-+-', '+----++-++-']"
31,"El sol envuelve su caldeado escudo
en sudario de brumas irisadas,
cual la púdica virgen el desnudo
turgente busto en sedas sonrosadas;
rasga trémulo el aire el eco agudo
que lanzan los alciones en bandadas:
quiebra en negro arrecife el mar sañudo
sus eréctiles ondas argentadas
Como un ópalo níveo en ocre raso,
mancha con su blancura del ocaso
la ensangrentada clámide, alba vela;
pájaro de plumaje marfileño
finge, que a las comarcas del Ensueño
por encendidos firmamentos vuela
",1,"['A', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'C', 'D', 'E', 'E', 'D']","['-+-+---+-+-', '--+--+---+-', '+-+--+---+-', '-+-+-+---+-', '+-+--+-+-+-', '-+---+---+-', '+-+--+-+-+-', '--+--+---+-', '-++--+-+-+-', '+----+---+-', '---+-+-+-+-', '+----+---+-', '+----+---+-', '---+---+-+-']"
